,name,Worldwide_Box_Office,number_of_movies,average_box,link
0,Warner Bros.,"$19,906,841,476",276,"$46,732,441,541",https://www.the-numbers.com/movies/production-company/Warner-Bros
1,Universal Pictures,"$19,650,944,590",299,"$45,965,808,227",https://www.the-numbers.com/movies/production-company/Universal-Pictures
2,Columbia Pictures,"$19,542,545,021",265,"$43,125,442,260",https://www.the-numbers.com/movies/production-company/Columbia-Pictures
3,Walt Disney Pictures,"$16,572,409,360",140,"$39,591,325,267",https://www.the-numbers.com/movies/production-company/Walt-Disney-Pictures
4,Paramount Pictures,"$15,064,293,031",227,"$32,957,407,649",https://www.the-numbers.com/movies/production-company/Paramount-Pictures
5,Marvel Studios,"$13,767,883,354",65,"$35,331,876,671",https://www.the-numbers.com/movies/production-company/Marvel-Studios
6,20th Century Fox,"$10,530,111,275",112,"$25,987,093,697",https://www.the-numbers.com/movies/production-company/20th-Century-Fox
7,Relativity Media,"$7,363,230,475",118,"$15,378,130,262",https://www.the-numbers.com/movies/production-company/Relativity-Media
8,New Line Cinema,"$7,251,263,831",124,"$16,798,143,425",https://www.the-numbers.com/movies/production-company/New-Line-Cinema
9,DreamWorks Pictures,"$6,763,434,533",84,"$13,477,894,882",https://www.the-numbers.com/movies/production-company/DreamWorks-Pictures
10,Legendary Pictures,"$6,509,952,532",64,"$17,015,858,477",https://www.the-numbers.com/movies/production-company/Legendary-Pictures
11,Dune Entertainment,"$6,307,177,998",70,"$16,544,624,035",https://www.the-numbers.com/movies/production-company/Dune-Entertainment
12,Disney-Pixar,"$6,076,943,959",29,"$14,685,170,698",https://www.the-numbers.com/movies/production-company/Pixar
13,Amblin Entertainment,"$5,955,534,169",64,"$14,608,152,772",https://www.the-numbers.com/movies/production-company/Amblin-Entertainment
14,Village Roadshow Productions,"$5,913,325,630",85,"$14,033,384,459",https://www.the-numbers.com/movies/production-company/Village-Roadshow-Productions
15,Regency Enterprises,"$5,906,823,248",143,"$12,894,663,314",https://www.the-numbers.com/movies/production-company/Regency-Enterprises
16,DreamWorks Animation,"$5,792,147,875",46,"$15,648,237,640",https://www.the-numbers.com/movies/production-company/DreamWorks-Animation
17,Lucasfilm,"$5,673,032,647",24,"$11,639,978,113",https://www.the-numbers.com/movies/production-company/Lucasfilm
18,Metro-Goldwyn-Mayer Pictures,"$5,564,260,845",126,"$13,540,775,524",https://www.the-numbers.com/movies/production-company/Metro-Goldwyn-Mayer-Pictures
19,Lionsgate,"$5,324,837,570",198,"$10,239,686,182",https://www.the-numbers.com/movies/production-company/Lionsgate
20,Touchstone Pictures,"$4,457,667,437",70,"$8,429,239,524",https://www.the-numbers.com/movies/production-company/Touchstone-Pictures
21,RatPac Entertainment,"$3,963,515,749",46,"$9,994,011,862",https://www.the-numbers.com/movies/production-company/RatPac-Entertainment
22,Walt Disney Animation Studios,"$3,858,863,401",25,"$10,364,388,294",https://www.the-numbers.com/movies/production-company/Walt-Disney-Animation-Studios
23,Heyday Films,"$3,516,222,325",26,"$10,983,350,223",https://www.the-numbers.com/movies/production-company/Heyday-Films
24,Summit Entertainment,"$3,362,726,133",72,"$8,478,584,827",https://www.the-numbers.com/movies/production-company/Summit-Entertainment
25,Jerry Bruckheimer,"$3,100,632,489",21,"$7,377,474,767",https://www.the-numbers.com/movies/production-company/Jerry-Bruckheimer
26,Bad Robot,"$3,055,104,013",21,"$7,136,772,899",https://www.the-numbers.com/movies/production-company/Bad-Robot
27,Twentieth Century Fox,"$2,840,878,635",53,"$6,794,740,270",https://www.the-numbers.com/movies/production-company/Twentieth-Century-Fox
28,Original Film,"$2,783,566,670",39,"$8,273,979,850",https://www.the-numbers.com/movies/production-company/Original-Film
29,di Bonaventura Pictures,"$2,769,579,345",32,"$7,641,848,763",https://www.the-numbers.com/movies/production-company/di-Bonaventura-Pictures
30,Imagine Entertainment,"$2,754,167,054",56,"$5,565,236,804",https://www.the-numbers.com/movies/production-company/Imagine-Entertainment
31,TSG Entertainment,"$2,721,648,589",43,"$7,442,048,359",https://www.the-numbers.com/movies/production-company/TSG-Entertainment
32,Fox 2000 Pictures,"$2,711,852,403",52,"$5,807,265,496",https://www.the-numbers.com/movies/production-company/Fox-2000-Pictures
33,Illumination Entertainment,"$2,610,787,965",13,"$6,729,044,753",https://www.the-numbers.com/movies/production-company/Illumination-Entertainment
34,Blumhouse,"$2,589,715,839",118,"$4,882,626,432",https://www.the-numbers.com/movies/production-company/Blumhouse
35,1492 Pictures,"$2,473,204,496",23,"$6,143,374,162",https://www.the-numbers.com/movies/production-company/1492-Pictures
36,Working Title Films,"$2,448,352,591",99,"$7,801,882,178",https://www.the-numbers.com/movies/production-company/Working-Title-Films
37,The Kennedy/Marshall Company,"$2,445,568,419",32,"$5,832,128,954",https://www.the-numbers.com/movies/production-company/Kennedy-Marshall-Company-The
