,name,Worldwide_Box_Office,number_of_movies,average_box,link
0,"Robert Downey, Jr.","$14,394,130,148",43,"$334,747,213",https://www.the-numbers.com/person/41500401-Robert-Downey-Jr
1,Samuel L. Jackson,"$14,337,608,559",63,"$227,581,088",https://www.the-numbers.com/person/670401-Samuel-L-Jackson
2,Scarlett Johansson,"$14,112,793,346",31,"$455,251,398",https://www.the-numbers.com/person/72460401-Scarlett-Johansson
3,Chris Hemsworth,"$11,196,972,897",25,"$447,878,916",https://www.the-numbers.com/person/64300401-Chris-Hemsworth
4,Chris Evans,"$11,057,993,458",27,"$409,555,313",https://www.the-numbers.com/person/45600401-Chris-Evans
5,Zoe Saldana,"$10,973,139,576",28,"$391,897,842",https://www.the-numbers.com/person/126330401-Zoe-Saldana
6,Chris Pratt,"$10,738,359,948",20,"$536,917,997",https://www.the-numbers.com/person/116290401-Chris-Pratt
7,Tom Hanks,"$10,691,083,366",53,"$201,718,554",https://www.the-numbers.com/person/650401-Tom-Hanks
8,Vin Diesel,"$10,536,114,008",26,"$405,235,154",https://www.the-numbers.com/person/39880401-Vin-Diesel
9,Bradley Cooper,"$10,397,723,313",27,"$385,100,863",https://www.the-numbers.com/person/31530401-Bradley-Cooper
10,Johnny Depp,"$10,326,727,976",51,"$202,484,862",https://www.the-numbers.com/person/580401-Johnny-Depp
11,Tom Cruise,"$10,059,691,870",43,"$233,946,323",https://www.the-numbers.com/person/540401-Tom-Cruise
12,Mark Ruffalo,"$9,834,109,236",22,"$447,004,965",https://www.the-numbers.com/person/125130401-Mark-Ruffalo
13,Dwayne Johnson,"$9,584,426,933",35,"$273,840,770",https://www.the-numbers.com/person/72720401-Dwayne-Johnson
14,Emma Watson,"$9,261,423,651",15,"$617,428,243",https://www.the-numbers.com/person/149580401-Emma-Watson
15,Don Cheadle,"$9,073,166,670",22,"$412,416,667",https://www.the-numbers.com/person/27210401-Don-Cheadle
16,Jeremy Renner,"$8,859,428,968",18,"$492,190,498",https://www.the-numbers.com/person/120260401-Jeremy-Renner
17,Will Smith,"$8,595,183,402",34,"$252,799,512",https://www.the-numbers.com/person/770401-Will-Smith
18,Daniel Radcliffe,"$8,206,070,778",22,"$373,003,217",https://www.the-numbers.com/person/117730401-Daniel-Radcliffe
19,Harrison Ford,"$7,782,864,843",42,"$185,306,306",https://www.the-numbers.com/person/600401-Harrison-Ford
20,Tom Holland,"$7,702,581,461",15,"$513,505,431",https://www.the-numbers.com/person/185380401-Tom-Holland
21,Rupert Grint,"$7,697,705,653",13,"$592,131,204",https://www.the-numbers.com/person/58830401-Rupert-Grint
22,Karen Gillan,"$7,681,518,138",13,"$590,886,011",https://www.the-numbers.com/person/726510401-Karen-Gillan
23,Josh Brolin,"$7,666,296,472",23,"$333,317,238",https://www.the-numbers.com/person/19430401-Josh-Brolin
24,Chadwick Boseman,"$7,653,181,530",11,"$695,743,775",https://www.the-numbers.com/person/354230401-Chadwick-Boseman
25,Elizabeth Olsen,"$7,476,898,853",14,"$534,064,204",https://www.the-numbers.com/person/223390401-Elizabeth-Olsen
26,Benedict Cumberbatch,"$7,366,268,076",16,"$460,391,755",https://www.the-numbers.com/person/34260401-Benedict-Cumberbatch
27,Dave Bautista,"$7,216,896,758",20,"$360,844,838",https://www.the-numbers.com/person/432600401-Dave-Bautista
28,Sebastian Stan,"$7,121,004,921",10,"$712,100,492",https://www.the-numbers.com/person/136000401-Sebastian-Stan
29,Leonardo DiCaprio,"$7,101,006,061",26,"$273,115,618",https://www.the-numbers.com/person/39750401-Leonardo-DiCaprio
30,Matt Damon,"$7,030,499,663",42,"$167,392,849",https://www.the-numbers.com/person/550401-Matt-Damon
31,Tom Hiddleston,"$6,949,648,068",13,"$534,588,313",https://www.the-numbers.com/person/65500401-Tom-Hiddleston
