,name,Worldwide_Box_Office,number_of_movies,average_box,link
0,Steven Spielberg,"$10,548,616,905",36,"$293,017,136",https://www.the-numbers.com/person/135430401-Steven-Spielberg
1,Anthony Russo,"$6,839,063,507",7,"$977,009,072",https://www.the-numbers.com/person/440630401-Anthony-Russo
2,Joe Russo,"$6,839,063,507",8,"$854,882,938",https://www.the-numbers.com/person/440640401-Joe-Russo
3,Peter Jackson,"$6,535,062,604",14,"$466,790,186",https://www.the-numbers.com/person/70790401-Peter-Jackson
4,Michael Bay,"$6,443,668,115",16,"$402,729,257",https://www.the-numbers.com/person/11530401-Michael-Bay
5,James Cameron,"$6,291,648,202",14,"$449,403,443",https://www.the-numbers.com/person/23100401-James-Cameron
6,David Yates,"$5,972,553,612",8,"$746,569,202",https://www.the-numbers.com/person/155750401-David-Yates
7,Christopher Nolan,"$4,960,176,492",13,"$381,552,038",https://www.the-numbers.com/person/106410401-Christopher-Nolan
8,J.J. Abrams,"$4,649,045,992",6,"$774,840,999",https://www.the-numbers.com/person/2080401-J-J-Abrams
9,Tim Burton,"$4,413,226,120",19,"$232,275,059",https://www.the-numbers.com/person/21830401-Tim-Burton
10,Robert Zemeckis,"$4,356,937,585",22,"$198,042,618",https://www.the-numbers.com/person/157100401-Robert-Zemeckis
11,Jon Favreau,"$4,323,508,744",9,"$480,389,860",https://www.the-numbers.com/person/46750401-Jon-Favreau
12,Ron Howard,"$4,300,742,744",33,"$130,325,538",https://www.the-numbers.com/person/68080401-Ron-Howard
13,Ridley Scott,"$4,255,415,735",31,"$137,271,475",https://www.the-numbers.com/person/129150401-Ridley-Scott
14,Chris Columbus,"$4,080,458,074",16,"$255,028,630",https://www.the-numbers.com/person/30720401-Chris-Columbus
15,Roland Emmerich,"$3,956,696,574",15,"$263,779,772",https://www.the-numbers.com/person/44800401-Roland-Emmerich
16,Bryan Singer,"$3,716,675,446",10,"$371,667,545",https://www.the-numbers.com/person/132760401-Bryan-Singer
17,Pierre Coffin,"$3,710,909,442",4,"$927,727,361",https://www.the-numbers.com/person/174830401-Pierre-Coffin
18,James Wan,"$3,705,134,792",10,"$370,513,479",https://www.the-numbers.com/person/148690401-James-Wan
19,Gore Verbinski,"$3,682,489,019",11,"$334,771,729",https://www.the-numbers.com/person/146540401-Gore-Verbinski
20,George Lucas,"$3,448,142,176",6,"$574,690,363",https://www.the-numbers.com/person/88340401-George-Lucas
21,Brad Bird,"$3,433,470,811",6,"$572,245,135",https://www.the-numbers.com/person/14690401-Brad-Bird
22,Francis Lawrence,"$3,350,317,781",9,"$372,257,531",https://www.the-numbers.com/person/82920401-Francis-Lawrence
23,Clint Eastwood,"$3,331,161,195",39,"$85,414,390",https://www.the-numbers.com/person/43320401-Clint-Eastwood
24,Sam Raimi,"$3,308,339,051",15,"$220,555,937",https://www.the-numbers.com/person/117920401-Sam-Raimi
25,Chris Renaud,"$3,201,236,599",5,"$640,247,320",https://www.the-numbers.com/person/174840401-Chris-Renaud
